,2022-04-01,"Shampoo,Gula,Kopi,Rokok Surya 12,MinumanSachet"
,2022-04-02,"Teh,Rokok Surya 12,Gula,Sabun,SusuKaleng,BumbuInstan"
,2022-04-03,"Rokok Surya 12,AirMineral,Gula,Tepung,KecapManis"
,2022-04-04,"CleoBotol,Rokok Samporna 16,Larutan,Gula"
,2022-04-05,Rokok Samporna 16
,2022-04-06,Rokok Samporna 16
,2022-04-07,Rokok Samporna 16
,2022-04-08,"CleoBotol,Rokok Samporna 16,Larutan,Gula"
,2022-04-09,"Rokok Samporna 16,Gula"
,2022-04-10,Rokok Samporna 16
,2022-04-11,Rokok Samporna 16
,2022-04-12,"Rokok Samporna 16,AirMineral"
,2022-04-13,Rokok Samporna 16
,2022-04-14,Rokok Samporna 16
,2022-04-15,Rokok Samporna 16
,2022-04-16,"SusuKaleng,BumbuInstan,Sabun,Rokok Surya 12,KecapManis"
,2022-04-17,"Shampoo,Gula,Kopi,Rokok Surya 12,MinumanSachet"
,2022-04-18,"Teh,Rokok Surya 12,Gula,Sabun,SusuKaleng,BumbuInstan"
,2022-04-19,"Rokok Surya 12,AirMineral,Gula,Tepung,KecapManis"
,2022-04-20,"CleoBotol,Rokok Samporna 16,Larutan,Gula"
,2022-04-21,"SusuKaleng,BumbuInstan,Sabun,Rokok Surya 12,KecapManis"
,2022-04-22,"Shampoo,Gula,Kopi,Rokok Surya 12,MinumanSachet"
,2022-04-23,"Teh,Rokok Surya 12,Gula,Sabun,SusuKaleng,BumbuInstan"
,2022-04-24,"Rokok Surya 12,AirMineral,Gula,Tepung,KecapManis"
,2022-04-25,Rokok Samporna 16
,2022-04-26,"BumbuInstan,Rokok Surya 12,Tepung,KecapManis,Gula,AirMineral"
,2022-04-27,"MieInstan,Tepung,Rokok Surya 12,Gula,BumbuInstan"
,2022-04-28,"MinumanSachet,KecapManis,Gula,Kopi"
,2022-04-29,"AirMineral,Rokok Surya 12,MinumanSachet,SusuKaleng,Saus"
,2022-04-30,"Shampoo,Gula,AirMineral,Tepung,Sabun,KecapManis,Minyak"
,2022-05-01,"KecapManis,Kopi,Tepung,Rokok Surya 12,Saus,Gula"
,2022-05-02,"BumbuInstan,Teh,AirMineral,Kopi,Gula"
,2022-05-03,"SusuKaleng,Rokok Surya 12,Tepung,Kopi"
